KR Steel Limited ,,,,,,,,,,,,,,,,,
"South Sitalpur , Sitakunda, chottogram ",,,,,,,,,,,,,,,,,
Preventive maintenance check list ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Name Of Machine : Hydraulic Excavator ,,,,,,,,,,,,,,,,,
Si No ,Check Point ,Hourly,Daily ,Weekly ,15 Days ,monthly ,3 Month,6 Month,Yearly ,Remarks/Condition,,,,,,,
1,Hydraulic oil level check                                 ?????????? ?????? ????? ???????,,?,,,,,,,,,,,,,,
2,Engine oil & coolant level                                ?????? ???? ? ????????? ????? ???,,?,,,,,,,,,,,,,,
3,"Fuel leakage / hose leakage
????? ? ?????????? ???? ????? ??? ????",,?,,,,,,,,,,   ,,,,
4,"Greasing of bucket, arm & boom pins
?????, ???? ? ??? ???? ????? ?????",,?,,,,,,,,,,,,,,
5,"Visual inspection of hoses & fittings
??? ? ???????? ???? ???? ???????",,?,,,,,,,,,,,,,,
6,"Track condition & tension
????????? ?????? ? ????? ???",,?,,,,,,,,,,,,,,
7,"Battery condition & terminals
???????? ? ????????? ???",,?,,,,,,,,,,,,,,
8,"Air filter primary cleaning
???? ??????? (?????????) ????????",,,?,,,,,,,,,,,,,
9,"Battery terminal & electrolyte check
???????? ????????? ? ????????????? ???????",,,?,,,,,,,,,,,,,
10,"Radiator & oil cooler visual cleaning
???????? ? ???? ????? ???????? ???",,,?,,,,,,,,,,,,,
11,"Hydraulic oil filter cleaning / replacement
?????????? ???? ??????? ???????? ?? ????????",,,,,?,,,,,,,,,,,
12,"Engine air filter cleaning
?????? ???? ??????? ????????",,,,,?,,,,,,,,,,,
13,"Swing motor & travel motor oil level
???? ? ??????? ?????? ???? ????? ???",,,,,?,,,,,,,,,,,
14,"Radiator & oil cooler cleaning
???????? ? ???? ????? ????????",,,,,?,,,,,,,,,,,
15,"Bolt & nut tightening (structure & undercarriage)
?????????? ? ????????????? ????? ??? ???? ???",,,,,?,,,,,,,,,,,
16,"Engine oil & oil filter replacement
?????? ???? ? ???? ??????? ????????",,,,,,?,,,,,,,,,,
17,"Fuel filter cleaning / replacement
????? ??????? ???????? ?? ????????",,,,,,?,,,,,,,,,,
18,"Hydraulic oil filter replacement
?????????? ???? ??????? ????????",,,,,,,?,,,,,,,,,
19,"Cooling system flushing & hose check
????? ??????? ????? ? ??? ???????",,,,,,,?,,,,,,,,,
20,"Hydraulic oil replacement
???????? ?????????? ???? ????????",,,,,,,,?,,,,,,,,
21,"Engine oil, fuel & air filter replacement
?????? ????, ????? ? ???? ??????? ????????",,,,,,,,?,,,,,,,,
22,"Hydraulic pump & valve inspection
?????????? ????? ? ???? ???????",,,,,,,,?,,,,,,,,
23,"Swing bearing & pin bush inspection
???? ??????? ? ??? ??? ???????",,,,,,,,?,,,,,,,,
24,"Complete machine performance test
???????? ????? ???????????? ?????",,,,,,,,?,,,,,,,,
"?? Safety & Handling                                                                                                                                                                                                                      Only trained & authorized operator should operate the excavator
????????? ?????????? ? ???????? ???????? ???????????? ??????
Do not work under suspended load 
?????? ????? ???? ??? ??? ???? ??
Always park machine on level ground and engage safety lock
????? ???? ?????? ????? ????? ??? ????? ?? ?????? ???
Wear proper PPE (helmet, safety shoes, hand gloves)
????? PPE ??????? ???? ??? (??????, ????? ????, ??????)                                                                                                                                                                                                                                                                                                            ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
